Date,Close/Last,Volume,Open,High,Low
10/13/2025,$80.03,8052044,$78.85,$80.44,$78.51
10/10/2025,$78.46,11129780,$79.66,$81.21,$78.41
10/09/2025,$79.78,9075650,$80.12,$80.46,$79.4302
10/08/2025,$80.04,12397710,$81.125,$81.13,$79.93
10/07/2025,$81.29,10070070,$82.16,$82.46,$80.79
10/06/2025,$82.11,14996700,$86.29,$86.29,$82.06
10/03/2025,$86.42,7634500,$86.50,$86.9029,$85.96
10/02/2025,$86.72,9461533,$84.25,$87.26,$84.03
10/01/2025,$84.40,8155190,$84.46,$85.14,$83.96
09/30/2025,$84.60,7574244,$85.23,$85.25,$84.175
09/29/2025,$85.64,11222760,$83.65,$85.84,$83.55
09/26/2025,$83.39,6955543,$83.85,$84.62,$82.90
09/25/2025,$83.83,8670515,$84.535,$84.67,$82.89
09/24/2025,$84.27,9663999,$85.58,$85.645,$84.13
09/23/2025,$85.69,8765503,$85.15,$86.18,$84.85
09/22/2025,$85.29,7881720,$84.23,$85.395,$83.69
09/19/2025,$84.56,15315900,$84.13,$85.22,$83.3827
09/18/2025,$83.42,7163732,$83.14,$83.60,$82.63
09/17/2025,$83.22,6632238,$84.475,$84.855,$82.9601
09/16/2025,$84.37,10244260,$83.03,$84.73,$83.00
09/15/2025,$82.68,9685897,$82.08,$83.87,$81.98
09/12/2025,$81.90,9996157,$82.37,$82.5428,$81.20
09/11/2025,$82.36,12046580,$83.29,$83.93,$82.13
09/10/2025,$82.88,8108045,$83.865,$84.00,$82.77
09/09/2025,$83.81,8635773,$84.195,$84.68,$83.27
09/08/2025,$84.17,9213687,$85.50,$85.50,$83.68
09/05/2025,$85.43,9047219,$86.86,$87.35,$85.06
09/04/2025,$87.01,6799210,$87.17,$87.77,$86.39
09/03/2025,$87.25,10201030,$89.40,$89.48,$86.29
09/02/2025,$89.78,10466190,$87.835,$89.99,$87.18
08/29/2025,$88.19,6315238,$88.00,$88.57,$87.40
08/28/2025,$88.02,7905597,$88.22,$88.46,$87.60
